,Airline,Journey_date,From,Destination,Dep_Time,Arrival_Time,Total_Stops,Duration,Price
0,Vistara,04/01/2023,New Delhi,Bengaluru,05:35,08:20,Non stop,02 h 45 m,"₹ 7,184"
1,Vistara,04/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 7,184"
2,Vistara,04/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 7,184"
3,Vistara,04/01/2023,New Delhi,Bengaluru,16:05,18:50,Non stop,02 h 45 m,"₹ 7,184"
4,Air India,04/01/2023,New Delhi,Bengaluru,16:55,20:15,Non stop,03 h 20 m,"₹ 7,184"
5,Vistara,04/01/2023,New Delhi,Bengaluru,17:30,20:25,Non stop,02 h 55 m,"₹ 7,184"
6,Vistara,04/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 7,184"
7,Vistara,04/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 7,184"
8,IndiGo,04/01/2023,New Delhi,Bengaluru,05:10,14:35,1 stop via Jaipur,09 h 25 m,"₹ 7,487"
9,SpiceJet,04/01/2023,New Delhi,Bengaluru,20:00,22:20,Non stop,02 h 20 m,"₹ 8,445"
10,IndiGo,04/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 8,580"
11,IndiGo,04/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 8,580"
12,IndiGo,04/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 8,580"
13,Go First,04/01/2023,New Delhi,Bengaluru,12:45,20:50,1 stop via Ranchi,08 h 05 m,"₹ 8,866"
14,AirAsia,04/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 9,000"
15,Go First,04/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 9,002"
16,SpiceJet,04/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 9,181"
17,SpiceJet,04/01/2023,New Delhi,Bengaluru,22:00,00:45,Non stop,02 h 45 m,"₹ 9,181"
18,IndiGo,04/01/2023,New Delhi,Bengaluru,09:40,19:55,1 stop via Vadodara,10 h 15 m,"₹ 9,736"
19,IndiGo,04/01/2023,New Delhi,Bengaluru,22:30,08:10,1 stop via Hyderabad,09 h 40 m,"₹ 9,886"
20,Akasa Air,04/01/2023,New Delhi,Bengaluru,11:50,14:35,Non stop,02 h 45 m,"₹ 9,977"
21,IndiGo,04/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 10,320"
22,IndiGo,04/01/2023,New Delhi,Bengaluru,17:25,20:05,Non stop,02 h 40 m,"₹ 10,320"
23,IndiGo,04/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 10,320"
24,Vistara,04/01/2023,New Delhi,Bengaluru,14:10,17:00,Non stop,02 h 50 m,"₹ 10,334"
25,AirAsia,04/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 10,501"
26,AirAsia,04/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 10,501"
27,AirAsia,04/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 10,501"
28,IndiGo,04/01/2023,New Delhi,Bengaluru,23:15,06:20,1 stop via Pune,07 h 05 m,"₹ 10,595"
29,Go First,04/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 11,702"
30,IndiGo,04/01/2023,New Delhi,Bengaluru,19:45,01:10,1 stop via Hyderabad,05 h 25 m,"₹ 11,954"
31,AirAsia,04/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 12,000"
32,"Vistara, AirAsia",04/01/2023,New Delhi,Bengaluru,07:40,13:50,1 stop via Chennai,06 h 10 m,"₹ 12,344"
33,IndiGo,04/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 12,640"
34,IndiGo,04/01/2023,New Delhi,Bengaluru,15:40,18:30,Non stop,02 h 50 m,"₹ 12,640"
35,IndiGo,04/01/2023,New Delhi,Bengaluru,02:10,09:00,1 stop via Pune,06 h 50 m,"₹ 12,727"
36,Air India,04/01/2023,New Delhi,Bengaluru,15:35,18:30,Non stop,02 h 55 m,"₹ 12,959"
37,"IndiGo, AirAsia",04/01/2023,New Delhi,Bengaluru,15:10,20:50,1 stop via Hyderabad,05 h 40 m,"₹ 13,895"
38,Air India,04/01/2023,New Delhi,Bengaluru,13:30,16:25,Non stop,02 h 55 m,"₹ 21,495"
39,AirAsia,05/01/2023,New Delhi,Bengaluru,05:45,12:25,1 stop via Visakhapatnam,06 h 40 m,"₹ 5,987"
40,AirAsia,05/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 7,016"
41,IndiGo,05/01/2023,New Delhi,Bengaluru,04:20,07:15,Non stop,02 h 55 m,"₹ 7,079"
42,IndiGo,05/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 7,079"
43,IndiGo,05/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 7,079"
44,SpiceJet,05/01/2023,New Delhi,Bengaluru,22:00,00:45,Non stop,02 h 45 m,"₹ 7,184"
45,Akasa Air,05/01/2023,New Delhi,Bengaluru,11:50,14:35,Non stop,02 h 45 m,"₹ 7,227"
46,IndiGo,05/01/2023,New Delhi,Bengaluru,01:55,09:55,1 stop via Hyderabad,08 h,"₹ 7,487"
47,IndiGo,05/01/2023,New Delhi,Bengaluru,05:55,08:45,Non stop,02 h 50 m,"₹ 7,499"
48,IndiGo,05/01/2023,New Delhi,Bengaluru,07:00,09:50,Non stop,02 h 50 m,"₹ 7,499"
49,IndiGo,05/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 7,499"
50,Go First,05/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 7,702"
51,Go First,05/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 7,702"
52,SpiceJet,05/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 7,754"
53,AirAsia,05/01/2023,New Delhi,Bengaluru,23:05,06:55,1 stop via Pune,07 h 50 m,"₹ 7,918"
54,IndiGo,05/01/2023,New Delhi,Bengaluru,10:40,13:30,Non stop,02 h 50 m,"₹ 7,919"
55,IndiGo,05/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 7,919"
56,AirAsia,05/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 8,025"
57,AirAsia,05/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 8,025"
58,AirAsia,05/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 8,025"
59,AirAsia,05/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 8,025"
60,Vistara,05/01/2023,New Delhi,Bengaluru,05:35,08:20,Non stop,02 h 45 m,"₹ 8,234"
61,Air India,05/01/2023,New Delhi,Bengaluru,06:10,08:55,Non stop,02 h 45 m,"₹ 8,234"
62,Air India,05/01/2023,New Delhi,Bengaluru,09:45,12:30,Non stop,02 h 45 m,"₹ 8,234"
63,Air India,05/01/2023,New Delhi,Bengaluru,16:55,20:15,Non stop,03 h 20 m,"₹ 8,234"
64,IndiGo,05/01/2023,New Delhi,Bengaluru,01:55,08:10,1 stop via Hyderabad,06 h 15 m,"₹ 8,237"
65,SpiceJet,05/01/2023,New Delhi,Bengaluru,20:00,22:20,Non stop,02 h 20 m,"₹ 8,445"
66,IndiGo,05/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 8,580"
67,IndiGo,05/01/2023,New Delhi,Bengaluru,17:25,20:05,Non stop,02 h 40 m,"₹ 8,580"
68,AirAsia,05/01/2023,New Delhi,Bengaluru,08:20,14:15,1 stop via Ranchi,05 h 55 m,"₹ 8,823"
69,IndiGo,05/01/2023,New Delhi,Bengaluru,09:15,12:05,Non stop,02 h 50 m,"₹ 9,250"
70,IndiGo,05/01/2023,New Delhi,Bengaluru,12:15,14:55,Non stop,02 h 40 m,"₹ 9,250"
71,IndiGo,05/01/2023,New Delhi,Bengaluru,15:40,18:30,Non stop,02 h 50 m,"₹ 9,250"
72,Vistara,05/01/2023,New Delhi,Bengaluru,17:30,20:25,Non stop,02 h 55 m,"₹ 9,284"
73,Vistara,05/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 9,284"
74,"IndiGo, AirAsia",05/01/2023,New Delhi,Bengaluru,07:10,13:50,1 stop via Chennai,06 h 40 m,"₹ 9,614"
75,IndiGo,05/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 10,320"
76,Air India,05/01/2023,New Delhi,Bengaluru,08:00,10:55,Non stop,02 h 55 m,"₹ 10,334"
77,Air India,05/01/2023,New Delhi,Bengaluru,13:30,16:25,Non stop,02 h 55 m,"₹ 10,334"
78,Vistara,05/01/2023,New Delhi,Bengaluru,14:10,17:00,Non stop,02 h 50 m,"₹ 10,334"
79,Air India,05/01/2023,New Delhi,Bengaluru,15:35,18:30,Non stop,02 h 55 m,"₹ 10,334"
80,Air India,05/01/2023,New Delhi,Bengaluru,19:25,22:40,Non stop,03 h 15 m,"₹ 10,334"
81,Air India,05/01/2023,New Delhi,Bengaluru,21:10,00:05,Non stop,02 h 55 m,"₹ 10,334"
82,"Vistara, Alliance Air",05/01/2023,New Delhi,Bengaluru,14:45,23:35,1 stop via Hyderabad,08 h 50 m,"₹ 11,058"
83,Air India,05/01/2023,New Delhi,Bengaluru,07:10,11:35,1 stop via Hyderabad,04 h 25 m,"₹ 11,520"
84,Vistara,05/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 12,959"
85,Vistara,05/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 15,584"
86,Vistara,05/01/2023,New Delhi,Bengaluru,16:05,18:50,Non stop,02 h 45 m,"₹ 15,584"
87,Go First,05/01/2023,New Delhi,Bengaluru,10:45,15:10,1 stop via Goa,04 h 25 m,"₹ 16,403"
88,Vistara,05/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 18,069"
89,AirAsia,06/01/2023,New Delhi,Bengaluru,05:45,18:35,1 stop via Visakhapatnam,12 h 50 m,"₹ 5,987"
90,IndiGo,06/01/2023,New Delhi,Bengaluru,05:55,08:45,Non stop,02 h 50 m,"₹ 6,416"
91,IndiGo,06/01/2023,New Delhi,Bengaluru,07:00,09:50,Non stop,02 h 50 m,"₹ 6,416"
92,IndiGo,06/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 6,416"
93,IndiGo,06/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 6,416"
94,SpiceJet,06/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 6,659"
95,IndiGo,06/01/2023,New Delhi,Bengaluru,20:30,07:55,1 stop via Jaipur,11 h 25 m,"₹ 6,737"
96,IndiGo,06/01/2023,New Delhi,Bengaluru,04:20,07:15,Non stop,02 h 55 m,"₹ 7,079"
97,IndiGo,06/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 7,079"
98,Vistara,06/01/2023,New Delhi,Bengaluru,05:35,08:20,Non stop,02 h 45 m,"₹ 7,184"
99,SpiceJet,06/01/2023,New Delhi,Bengaluru,20:00,22:20,Non stop,02 h 20 m,"₹ 7,184"
100,AirAsia,06/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 7,226"
101,Akasa Air,06/01/2023,New Delhi,Bengaluru,11:50,14:35,Non stop,02 h 45 m,"₹ 7,227"
102,IndiGo,06/01/2023,New Delhi,Bengaluru,01:55,09:55,1 stop via Hyderabad,08 h,"₹ 7,487"
103,IndiGo,06/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 7,499"
104,SpiceJet,06/01/2023,New Delhi,Bengaluru,22:00,00:45,Non stop,02 h 45 m,"₹ 7,754"
105,IndiGo,06/01/2023,New Delhi,Bengaluru,09:15,12:05,Non stop,02 h 50 m,"₹ 7,919"
106,Air India,06/01/2023,New Delhi,Bengaluru,06:10,08:55,Non stop,02 h 45 m,"₹ 8,234"
107,Air India,06/01/2023,New Delhi,Bengaluru,08:00,10:55,Non stop,02 h 55 m,"₹ 8,234"
108,Vistara,06/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 8,234"
109,Vistara,06/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 8,234"
110,Air India,06/01/2023,New Delhi,Bengaluru,05:45,12:20,1 stop via Chennai,06 h 35 m,"₹ 8,234"
111,AirAsia,06/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 8,235"
112,IndiGo,06/01/2023,New Delhi,Bengaluru,01:55,08:10,1 stop via Hyderabad,06 h 15 m,"₹ 8,237"
113,AirAsia,06/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 9,210"
114,IndiGo,06/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 9,250"
115,IndiGo,06/01/2023,New Delhi,Bengaluru,02:10,09:00,1 stop via Pune,06 h 50 m,"₹ 9,734"
116,IndiGo,06/01/2023,New Delhi,Bengaluru,10:40,13:30,Non stop,02 h 50 m,"₹ 9,900"
117,Go First,06/01/2023,New Delhi,Bengaluru,17:30,23:25,1 stop via Ahmedabad,05 h 55 m,"₹ 9,936"
118,IndiGo,06/01/2023,New Delhi,Bengaluru,23:15,04:15,1 stop via Pune,05 h,"₹ 9,997"
119,IndiGo,06/01/2023,New Delhi,Bengaluru,12:15,14:55,Non stop,02 h 40 m,"₹ 10,320"
120,IndiGo,06/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 10,320"
121,IndiGo,06/01/2023,New Delhi,Bengaluru,15:40,18:30,Non stop,02 h 50 m,"₹ 10,320"
122,Air India,06/01/2023,New Delhi,Bengaluru,09:45,12:30,Non stop,02 h 45 m,"₹ 10,334"
123,Air India,06/01/2023,New Delhi,Bengaluru,13:30,16:25,Non stop,02 h 55 m,"₹ 10,334"
124,Vistara,06/01/2023,New Delhi,Bengaluru,14:10,17:00,Non stop,02 h 50 m,"₹ 10,334"
125,Air India,06/01/2023,New Delhi,Bengaluru,15:35,18:30,Non stop,02 h 55 m,"₹ 10,334"
126,Vistara,06/01/2023,New Delhi,Bengaluru,17:30,20:25,Non stop,02 h 55 m,"₹ 10,334"
127,Vistara,06/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 10,334"
128,Air India,06/01/2023,New Delhi,Bengaluru,21:10,00:05,Non stop,02 h 55 m,"₹ 10,334"
129,IndiGo,06/01/2023,New Delhi,Bengaluru,19:45,01:10,1 stop via Hyderabad,05 h 25 m,"₹ 10,379"
130,AirAsia,06/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 10,711"
131,AirAsia,06/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 10,711"
132,"Air India, Alliance Air",06/01/2023,New Delhi,Bengaluru,16:50,23:35,1 stop via Hyderabad,06 h 45 m,"₹ 10,743"
133,SpiceJet,06/01/2023,New Delhi,Bengaluru,12:45,18:05,1 stop via Shirdi,05 h 20 m,"₹ 11,006"
134,IndiGo,06/01/2023,New Delhi,Bengaluru,17:25,20:05,Non stop,02 h 40 m,"₹ 12,640"
135,Vistara,06/01/2023,New Delhi,Bengaluru,16:05,18:50,Non stop,02 h 45 m,"₹ 12,959"
136,Air India,06/01/2023,New Delhi,Bengaluru,19:25,22:40,Non stop,03 h 15 m,"₹ 12,959"
137,Vistara,06/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 15,584"
138,Go First,06/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 17,925"
139,Go First,06/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 17,925"
140,Air India,06/01/2023,New Delhi,Bengaluru,16:55,20:15,Non stop,03 h 20 m,"₹ 18,345"
141,Go First,06/01/2023,New Delhi,Bengaluru,10:55,15:10,1 stop via Goa,04 h 15 m,"₹ 19,867"
142,IndiGo,07/01/2023,New Delhi,Bengaluru,09:35,17:20,1 stop via Nagpur,07 h 45 m,"₹ 5,988"
143,SpiceJet,07/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 8,445"
144,AirAsia,07/01/2023,New Delhi,Bengaluru,09:35,18:10,1 stop via Bagdogra,08 h 35 m,"₹ 8,823"
145,AirAsia,07/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 9,210"
146,IndiGo,07/01/2023,New Delhi,Bengaluru,04:20,07:15,Non stop,02 h 55 m,"₹ 9,250"
147,IndiGo,07/01/2023,New Delhi,Bengaluru,07:00,09:50,Non stop,02 h 50 m,"₹ 9,250"
148,IndiGo,07/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 9,250"
149,IndiGo,07/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 9,250"
150,Vistara,07/01/2023,New Delhi,Bengaluru,05:35,08:20,Non stop,02 h 45 m,"₹ 9,284"
151,Vistara,07/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 9,284"
152,IndiGo,07/01/2023,New Delhi,Bengaluru,18:25,02:20,1 stop via Pune,07 h 55 m,"₹ 9,472"
153,Go First,07/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 9,701"
154,AirAsia,07/01/2023,New Delhi,Bengaluru,10:10,17:20,1 stop via Ranchi,07 h 10 m,"₹ 9,808"
155,IndiGo,07/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 9,900"
156,IndiGo,07/01/2023,New Delhi,Bengaluru,20:30,01:40,1 stop via Jaipur,05 h 10 m,"₹ 10,207"
157,IndiGo,07/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 10,320"
158,Air India,07/01/2023,New Delhi,Bengaluru,06:10,08:55,Non stop,02 h 45 m,"₹ 10,334"
159,Vistara,07/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 10,334"
160,Air India,07/01/2023,New Delhi,Bengaluru,21:10,00:05,Non stop,02 h 55 m,"₹ 10,334"
161,"IndiGo, AirAsia",07/01/2023,New Delhi,Bengaluru,17:15,23:00,1 stop via Chennai,05 h 45 m,"₹ 10,454"
162,AirAsia,07/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 10,711"
163,SpiceJet,07/01/2023,New Delhi,Bengaluru,20:30,23:05,Non stop,02 h 35 m,"₹ 10,746"
164,"IndiGo, Akasa Air",07/01/2023,New Delhi,Bengaluru,15:55,22:15,1 stop via Chennai,06 h 20 m,"₹ 11,049"
165,IndiGo,07/01/2023,New Delhi,Bengaluru,09:15,12:05,Non stop,02 h 50 m,"₹ 11,520"
166,IndiGo,07/01/2023,New Delhi,Bengaluru,10:40,13:30,Non stop,02 h 50 m,"₹ 11,520"
167,IndiGo,07/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 11,520"
168,Go First,07/01/2023,New Delhi,Bengaluru,10:55,15:10,1 stop via Goa,04 h 15 m,"₹ 11,783"
169,AirAsia,07/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 12,368"
170,AirAsia,07/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 12,368"
171,AirAsia,07/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 12,368"
172,IndiGo,07/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 12,640"
173,IndiGo,07/01/2023,New Delhi,Bengaluru,17:25,20:05,Non stop,02 h 40 m,"₹ 12,640"
174,Vistara,07/01/2023,New Delhi,Bengaluru,17:35,21:30,1 stop via Hyderabad,03 h 55 m,"₹ 12,883"
175,Air India,07/01/2023,New Delhi,Bengaluru,08:00,10:55,Non stop,02 h 55 m,"₹ 12,959"
176,Vistara,07/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 12,959"
177,Air India,07/01/2023,New Delhi,Bengaluru,09:45,12:30,Non stop,02 h 45 m,"₹ 12,959"
178,Air India,07/01/2023,New Delhi,Bengaluru,15:35,18:30,Non stop,02 h 55 m,"₹ 12,959"
179,Air India,07/01/2023,New Delhi,Bengaluru,16:55,20:15,Non stop,03 h 20 m,"₹ 12,959"
180,Vistara,07/01/2023,New Delhi,Bengaluru,17:30,20:25,Non stop,02 h 55 m,"₹ 12,959"
181,Air India,07/01/2023,New Delhi,Bengaluru,19:25,22:40,Non stop,03 h 15 m,"₹ 12,959"
182,Vistara,07/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 12,959"
183,IndiGo,07/01/2023,New Delhi,Bengaluru,15:40,18:30,Non stop,02 h 50 m,"₹ 13,500"
184,Go First,07/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 13,725"
185,IndiGo,07/01/2023,New Delhi,Bengaluru,12:15,14:55,Non stop,02 h 40 m,"₹ 14,499"
186,Vistara,07/01/2023,New Delhi,Bengaluru,14:10,17:00,Non stop,02 h 50 m,"₹ 15,584"
187,Vistara,07/01/2023,New Delhi,Bengaluru,16:05,18:50,Non stop,02 h 45 m,"₹ 15,584"
188,Air India,07/01/2023,New Delhi,Bengaluru,13:30,16:25,Non stop,02 h 55 m,"₹ 18,345"
189,AirAsia,08/01/2023,New Delhi,Bengaluru,21:45,12:10,1 stop via Lucknow,14 h 25 m,"₹ 6,956"
190,AirAsia,08/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 9,210"
191,IndiGo,08/01/2023,New Delhi,Bengaluru,04:20,07:15,Non stop,02 h 55 m,"₹ 9,250"
192,IndiGo,08/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 6,112"
193,IndiGo,08/01/2023,New Delhi,Bengaluru,05:55,08:45,Non stop,02 h 50 m,"₹ 9,250"
194,IndiGo,08/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 9,250"
195,Akasa Air,08/01/2023,New Delhi,Bengaluru,11:50,14:35,Non stop,02 h 45 m,"₹ 9,477"
196,"Vistara, AirAsia",08/01/2023,New Delhi,Bengaluru,07:40,13:50,1 stop via Chennai,06 h 10 m,"₹ 9,563"
197,"IndiGo, AirAsia",08/01/2023,New Delhi,Bengaluru,07:10,13:50,1 stop via Chennai,06 h 40 m,"₹ 9,614"
198,Go First,08/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 9,701"
199,IndiGo,08/01/2023,New Delhi,Bengaluru,01:55,08:10,1 stop via Hyderabad,06 h 15 m,"₹ 9,886"
200,IndiGo,08/01/2023,New Delhi,Bengaluru,23:15,06:20,1 stop via Pune,07 h 05 m,"₹ 9,892"
201,IndiGo,08/01/2023,New Delhi,Bengaluru,07:00,09:50,Non stop,02 h 50 m,"₹ 9,900"
202,IndiGo,08/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 9,900"
203,SpiceJet,08/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 9,915"
204,Go First,08/01/2023,New Delhi,Bengaluru,10:55,15:10,1 stop via Goa,04 h 15 m,"₹ 10,103"
205,IndiGo,08/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 10,320"
206,Air India,08/01/2023,New Delhi,Bengaluru,06:10,08:55,Non stop,02 h 45 m,"₹ 10,334"
207,"IndiGo, AirAsia",08/01/2023,New Delhi,Bengaluru,17:15,23:00,1 stop via Chennai,05 h 45 m,"₹ 10,454"
208,AirAsia,08/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 10,711"
209,AirAsia,08/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 10,711"
210,AirAsia,08/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 10,711"
211,SpiceJet,08/01/2023,New Delhi,Bengaluru,20:30,23:05,Non stop,02 h 35 m,"₹ 10,746"
212,Air India,08/01/2023,New Delhi,Bengaluru,05:45,12:20,1 stop via Chennai,06 h 35 m,"₹ 10,859"
213,IndiGo,08/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 11,520"
214,"SpiceJet, Air India",08/01/2023,New Delhi,Bengaluru,06:15,12:20,1 stop via Chennai,06 h 05 m,"₹ 11,545"
215,IndiGo,08/01/2023,New Delhi,Bengaluru,09:15,12:05,Non stop,02 h 50 m,"₹ 12,640"
216,IndiGo,08/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 12,640"
217,AirAsia,08/01/2023,New Delhi,Bengaluru,07:10,12:10,1 stop via Lucknow,05 h,"₹ 12,811"
218,Vistara,08/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 12,959"
219,Air India,08/01/2023,New Delhi,Bengaluru,19:25,22:40,Non stop,03 h 15 m,"₹ 12,959"
220,Air India,08/01/2023,New Delhi,Bengaluru,21:10,00:05,Non stop,02 h 55 m,"₹ 12,959"
221,IndiGo,08/01/2023,New Delhi,Bengaluru,17:15,22:10,1 stop via Hyderabad,04 h 55 m,"₹ 13,042"
222,AirAsia,08/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 14,067"
223,Go First,08/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 14,775"
224,IndiGo,08/01/2023,New Delhi,Bengaluru,10:40,13:30,Non stop,02 h 50 m,"₹ 15,580"
225,IndiGo,08/01/2023,New Delhi,Bengaluru,11:45,14:40,Non stop,02 h 55 m,"₹ 15,580"
226,IndiGo,08/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 15,580"
227,Air India,08/01/2023,New Delhi,Bengaluru,08:00,10:55,Non stop,02 h 55 m,"₹ 15,584"
228,Vistara,08/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 15,584"
229,Vistara,08/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 15,584"
230,Vistara,08/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 15,584"
231,Air India,08/01/2023,New Delhi,Bengaluru,09:45,12:30,Non stop,02 h 45 m,"₹ 18,345"
